date_received,first_initial,last_initial,zip_suffix,postmark_date,no_postmark_month_only,no_postmark_signed_date,post_type,forwarded_from_huntington_sci,notes
2/19/2025,L,A,13,12/30/2024,FALSE,,LETTER,,
2/19/2025,S,B,44,12/30/2024,FALSE,,LETTER,,
2/19/2025,V,N,20,1/2/2025,FALSE,,LETTER,,
2/19/2025,A,I,08,12/30/2024,FALSE,,LETTER,,
2/19/2025,E,A,07,1/22/2025,FALSE,,LETTER,,
2/19/2025,G,P,05,12/30/2024,FALSE,,LETTER,,
2/19/2025,K,E,64,1/2/2025,FALSE,,LETTER,,
2/19/2025,M,P,22,12/24/2024,FALSE,,LETTER,,
2/19/2025,S,M,83,12/30/2024,FALSE,,LETTER,,
2/19/2025,V,T,26,12/30/2024,FALSE,,LETTER,,
2/20/2025,A,R,35,12/31/2024,FALSE,,LETTER,,
2/20/2025,C,B,78,2/14/2025,FALSE,,LETTER,,
2/20/2025,H,S,11,NULL,FALSE,,LETTER,,
2/20/2025,K,K,14,1/2/2025,FALSE,,LETTER,,
2/20/2025,R,M,32,12/20/2024,FALSE,,LETTER,,
2/20/2025,V,L,32,1/2/2025,FALSE,,LETTER,,
2/20/2025,A,V,25,12/30/2024,FALSE,,LETTER,,
2/20/2025,C,M,32,1/2/2025,FALSE,,LETTER,,
2/20/2025,J,G,38,2/15/2025,FALSE,,LETTER,,
2/20/2025,M,L,45,12/30/2024,FALSE,,LETTER,,
2/20/2025,S,M,37,12/27/2024,FALSE,,LETTER,,
2/20/2025,NULL,NULL,NULL,12/26/2024,FALSE,,LETTER,,
2/20/2025,A,W,05,12/28/2024,FALSE,,LETTER,,
2/20/2025,E,H,84,12/31/2024,FALSE,,LETTER,,
2/20/2025,K,B,05,12/30/2024,FALSE,,LETTER,,
2/20/2025,M,M,78,12/26/2024,FALSE,,LETTER,,
2/20/2025,S,N,78,2/15/2025,FALSE,,LETTER,,
2/21/2025,A,A,30,12/23/2024,FALSE,,LETTER,,
2/21/2025,D,M,02,12/31/2024,FALSE,,LETTER,,
2/21/2025,E,G,53,12/31/2024,FALSE,,LETTER,,
2/21/2025,K,C,05,12/30/2024,FALSE,,LETTER,,
2/21/2025,N,W,90,12/30/2024,FALSE,,LETTER,,
2/25/2025,A,C,97,12/28/2024,FALSE,,LETTER,,
2/25/2025,K,G,13,2/19/2025,FALSE,,LETTER,,
2/25/2025,R,H,10,1/4/2025,FALSE,,LETTER,,
2/25/2025,A,E,39,1/2/2025,FALSE,,LETTER,,
2/25/2025,N,T,93,1/4/2025,FALSE,,LETTER,,
2/25/2025,R,T,26,1/2/2025,FALSE,,LETTER,,
2/25/2025,C,Z,05,12/31/2024,FALSE,,LETTER,,
2/25/2025,N,W,04,1/4/2025,FALSE,,LETTER,,
2/25/2025,T,S,16,12/30/2024,FALSE,,LETTER,,
2/25/2025,J,P,27,1/3/2025,FALSE,,LETTER,,
2/25/2025,P,S,16,12/30/2024,FALSE,,LETTER,,
2/25/2025,V,A,FINLAND,NULL,FALSE,,LETTER,,
2/26/2025,A,D,46,2/21/2025,FALSE,,LETTER,,
2/26/2025,E,S,65,1/8/2025,FALSE,,LETTER,,
2/26/2025,J,S,34,1/8/2025,FALSE,,LETTER,,
2/26/2025,L,NULL,28,2/21/2025,FALSE,,LETTER,,
2/26/2025,P,C,41,2/19/2025,FALSE,,LETTER,,
